Instancia,Modelo,Solver,Resultado,Tiempo
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-10-1.dat,NODE-DL,Gurobi,393.4561022037494,1.6561555862426758
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-10-1b.dat,NODE-DL,Gurobi,393.4561022037494,1.660600185394287
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-10-2.dat,NODE-DL,Gurobi,376.04445868676436,1.991698980331421
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-10-2b.dat,NODE-DL,Gurobi,376.04445868676436,2.1009984016418457
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-10-3.dat,NODE-DL,Gurobi,310.8592357096204,1.4418449401855469
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-10-3b.dat,NODE-DL,Gurobi,310.8592357096204,1.369044542312622
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-5-1.dat,NODE-DL,Gurobi,351.2035409466474,1.403651237487793
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-5-1b.dat,NODE-DL,Gurobi,351.2035409466474,1.686232089996338
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-5-2.dat,NODE-DL,Gurobi,334.24239832146577,1.8851299285888672
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-5-2b.dat,NODE-DL,Gurobi,334.24239832146577,1.7587268352508545
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-5-3.dat,NODE-DL,Gurobi,314.99087770169245,1.2976534366607666
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord100-5-3b.dat,NODE-DL,Gurobi,314.99087770169245,1.3383116722106934
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord20-5-1.dat,NODE-DL,Gurobi,167.4559762822081,0.09784126281738281
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord20-5-1b.dat,NODE-DL,Gurobi,181.8905996625876,0.14461112022399902
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord20-5-2.dat,NODE-DL,Gurobi,159.00155641238578,0.0791323184967041
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord20-5-2b.dat,NODE-DL,Gurobi,190.66902811605902,0.08477354049682617
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord200-10-1.dat,NODE-DL,Gurobi,499.41517600231526,6.556272506713867
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord200-10-1b.dat,NODE-DL,Gurobi,499.41517600231526,6.605394124984741
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord200-10-2.dat,NODE-DL,Gurobi,439.99580760442194,6.890756607055664
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord200-10-2b.dat,NODE-DL,Gurobi,439.99580760442194,6.9466564655303955
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord200-10-3.dat,NODE-DL,Gurobi,459.65103739989996,8.252474308013916
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord200-10-3b.dat,NODE-DL,Gurobi,459.65103739989996,8.728151082992554
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord50-5-1.dat,NODE-DL,Gurobi,282.9913982232539,0.5739278793334961
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord50-5-1b.dat,NODE-DL,Gurobi,282.9913982232539,0.5505285263061523
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord50-5-2.dat,NODE-DL,Gurobi,242.33605684886965,0.36602163314819336
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord50-5-2b.dat,NODE-DL,Gurobi,242.33605684886965,0.32712459564208984
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord50-5-2bBIS.dat,NODE-DL,Gurobi,244.23159157912173,0.5495457649230957
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord50-5-2BIS.dat,NODE-DL,Gurobi,208.7734839008999,0.38779616355895996
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord50-5-3.dat,NODE-DL,Gurobi,278.29417129146606,0.40691232681274414
S:\Universidad\Optimizacion\Gurobi_Cplex_comparation\instances\Instances_Prodhon_LRP\coord50-5-3b.dat,NODE-DL,Gurobi,278.29417129146606,0.4298512935638428
